latest_burned_block,sender_address,total_burned
24583635,0x4b8b594b5c1da60094d7fb3f29487d21327c21e7,185466399575213
24579357,0x42f3cac47e8cf2bf203f341607edcc956f4b6a2b,19904668630121
24584631,0xc3ea56540e06f0bc9ee70475663ad6f7d82beb37,67567234686253
24579321,0x484ca9ab5a676c864c907dfc2ea01ff3458d9633,1000000000000000
24582608,0xc0123d2bf1cddd3714f68db3bf7e7570282cdb63,84372962489670
24583395,0xd93f61fdbad40c329796d8f5c052f17b1d4654ee,8136743475916
24583117,0x75e3c1073c71cb75b1735598fd85f81fdde551d6,56625924290000
24582603,0xac907b3cb603e54b2f1270d772bf324e943d5826,7053661130351212
24579908,0x0e07ecb7ea74b53f41a3c82b9ff7323512866ce8,2890159493196720
24586685,0xd82d6e4ff3fe44ecdb4830e1e47d9b36390c3f28,209708225367409
24579341,0xd0f3dbc5b1c684299ff47a0a678e722a8ddb13d3,1786341970159160
24582778,0x605e39d307bad8c70f0124da9f604434d8067488,1273997679420848
24582725,0x841d6116b3b6446744da6c69aac3e7f34b18d1f4,6212004989727
24578954,0x8fa84759562491b2b92fa649971a236054f5c413,325366859745565
24579069,0x0ea24ba038ccdf1784ba69a3446bf79d9da013b7,400000000000000
24581612,0x051b8bc9e8e31175a511ef2baed60ef56ea74ad1,2228650624608414
24583560,0x0d369668cbc7a426656d68c7d4c1b1e95842b480,136556438841310
24579618,0x3d326c7e52d84732729ced69468b4a80f456c390,1316635971390490
24585081,0x147eac1a96b0a1f29799e9290e78462fae4ee238,61815962268151
24586439,0x8ab913a71a9f181c4dfd051a52a9ec91dce41855,851255701314544
24583253,0x9c1fd65f14a4e373b7113f8bc48a4a23cce3b76f,90471197741222
24581156,0x062fcc6ce87844d0b350850a1140d3a94c8fdcda,67283177890524
24584894,0x9f909691735030a324444407d373775302441637,87425589127674
24585583,0xf6fe5b2b625a237b9fe1eef2bdbc156d4866e28d,545583420208512
24579057,0xeb0103f682ba4013f9b990e6ff411b71afa73f77,1246688437634590
24579033,0x9b7811daf03499f44eaa9d21c0975e9a8365bcb9,359073518290376
24580773,0x96289e0c5e166343915352377e13e94f46815ae1,237748699786054
24579114,0x67e0c1e9bf2fede79e5c1f8ea42ec818d44b7ac8,99349333835049
24582458,0x283939bfd3cadefa6f12e8118dce403a2a3a12f3,4064065011685226
24580391,0x8ea69d04c0c505d72199bfff991283bff3db194a,2598728078421693
24579186,0x9752fdc4a4d65e67cd2508418d2ba6f32828f4e0,92182684175463
24585002,0x6bba2e1361fbd7412e1d4503667cbd508c90bfe9,118400000000000
24579091,0x38940d9e7344ba8dfd4fe9bf19afbbddfcc99464,292211606663456
24578962,0xd86ea7323fa242347abb4fa59449fcfe15cd6bbb,2935808838544821
24579017,0x84d0c576b642c14d31cd78d2ebcae23ed958d487,289000998588184
24579685,0xa8ea1af0077111bc3bf132f864a21e359f18340e,646678520657133
24585300,0x47311301ee2910aaf814bcbfa0029f63064c6e76,12091913182
24581568,0x21c106f32e45ec16a377570ee4214d40e2e8a615,33375303987781408
24580693,0x794b84a801aa56144fe25b233e3604528f578114,66058282654554
24581952,0xd0923537d9819782b387a07e8f9858ee713847b0,6405338800674
24583084,0xfba5c010a0a353dc48bc17403459d9c7c7f28950,41748380352750
24578973,0x11c486e7bf25b8548d8f181420316f01fd43f4a2,2171833111000000
24586205,0xf19aed29a6cd4f5a1b3c8ed79d987e3fc1dca853,955553444000000
24579724,0xc16f9c800e41f332ab07b663af6fd6e9857c4403,232451673440016
24585439,0x0a2959450fae21d734d06daf0c76f0913eefb156,177927038664209
24579251,0xc00553c83af24005dc81e3ecb73ccb1d12c96c97,1694761748001949
24579955,0x5882e5bec3b34f46ec516b7e4f7ed5c604e8f42b,102848422531770
24584899,0x613a17d6c39940a5ae8c61e059edd8a094f58bae,24940865759103
