latest_burned_block,sender_address,total_burned
26123844,0xa5c0a9b949760f2b8e11fbce3b2e524d186b6974,4000000000000000000000
26106720,0xd6707b918ae2d1b802e6aa8b05e2d04a3ed2f53f,1000000000000000000
26115436,0xca4c63ca6c9b9a45b8b296733151fa034144c182,100000000000000000000
26110330,0x46fa5d7c3aaa1ccc9c23fd6e7811da72c505bed5,1000000000000000000000
26126217,0xf83e1c0fbd0615913dc12be6bc2ad7b13cf0a055,50000000000000000000000
26106620,0xc927203a5a0b048171857624629f47f24bcc48b6,85000000000000000000
26106565,0x11e4c48d149b95a0584cbe5a05cd82cbcddde820,1000000000000000000
26113788,0xdf0121dfebddc9423c2d73c15f9dacd1ddb5b987,5555000000000000000000
26109496,0xed6ac3a92e4a77b0553f2a243afc51b3b865d3e1,100000000000000000000
26117310,0xf5a40a74bf78150b41177fbf7476d395900d28d6,15000000000000000000000
26106840,0xb5f983102a51348ac9ac0ab718bd4e7f1098b005,1000000000000000000
26106356,0x8d5ba014b9341d7736ff3cac0e4edc6785a9a29a,78343125825955365895
26112813,0xa0bf0c295d6ac1bb167837406426d388de7a5e43,8000000000000000000000
26110861,0x3ff48c35a012e97dd5bac0d0bbead77c4141128e,4450115863728366385034
26134928,0x01d4551cc6d470335e01f179c018242837946ab3,6000000000000000000000
26115284,0x951e3c8437812460f35ea9d8a42343b07c729e60,6666666666666666000000
26106554,0x647a4e51f2cd5eb4a6498d0d86e94e9d70090627,1000000000000000000
26120639,0x38fccc4ed695dab2033f62d3df1ed315fe700610,9156158578951193000000
26134486,0xab582674dd3efc8d3dee257e0dbfb2b34e974fe2,14100000000000000000000
26113778,0x993a5c9aaf9d11fa4b43fe8649188b6d73822f0b,5000000000000000000000
26106824,0x3d6194c33cfc85f6138b7679c046404984ae96b1,1000000000000000000
26123973,0x6f4c27cba4370b04ab7a0750851692e1e33b8672,7640955220216347469020
26124056,0x79313d5e9d77df46d581060ba3a0d6c5e825f0f0,7331000000000000000000
26108458,0xfaf6bb8f1a300130fb9dc582dc8363a50841882d,2000000000000000000000
26135009,0x8bc2a10797753f93814a58eb5244035365884760,100000000000000000000000
26110972,0xa3a16cc35eac85d2d5623d73959ca3757089fb57,3475714059976037183211
26117521,0xad36b76446bbad4f9f04b8c81eba3af7f10dfcac,5676000000000000000000
26114055,0xd2ef23ea827e80d88073496c568543570caefccf,1967128698610869081543
26120118,0x14b64f97623176794972c92bd0b56f3a9f25ffc6,7111000000000000000000
26121596,0xeb7769f7aaa07c3e6be6fa336e75db2a120d708d,102000000000000000000
26106216,0xbaf227ba165f9484ed1b8fc31f5c52692f220303,100000000000000000000
26128535,0x7798ba9512b5a684c12e31518923ea4221a41fb9,100000000000000000000000
26109225,0xfb0b325d90f27f5c8512981f23c6f7f406b7b1b4,6900000000000000000000
26134747,0x7d5e5355a9f73ff86f615f7b9c36d338d2c949ca,7200000000000000000000
26127730,0x4f412b5a79f4f07997b7bbed46a03c56db5ad607,9269316055433115376846
26124100,0xcc12f0229ee3637250046941349ee6d6471b8e06,2176000000000000000000
26122495,0x6d885fe3d08b8bf83b8a1f42b0085d4392de7117,539000000000000000000
26110805,0x9dd49d8928c14e5cbaaa22aceb383915c08c5b85,1369066416252559
26111683,0x1ab2ea0f61f7cd788fbded408e28d8dabf13daf8,22222222222222222222220
26106613,0xffa739b224de2bd1e07ece27a6e86845ae0f4fd0,69791189732304327411300
26107393,0x8d0f71a39ffe6b0a5a09ff0865b92c77a77db23c,7228355692613695317606
26132634,0xd64997ddc30869ea7ef865a421c80653ad761483,15555000000000000000000
26106270,0x540a0027509b1c9aa0a2c5c65491cc97083e16de,4870000000000000000000
26121246,0xa33feda9a8e2ce234cdf00477344c426160c2703,22500000000000000000000
26126175,0xed206d089f791a1411228bf0daf9621662af340c,50000000000000000000000
26121258,0xb935e82b906de69d4e2ed9e24320067ec98353cf,23500000000000000000000
26134861,0xb4532d565c2b5b70d17761476113b31c4b2e252c,3800000000000000000000
26108823,0x05a538a6757c82bacc8526bb1c86c668f4b30e8e,726344517562886761706
26106752,0x815f3fab59529e8e2bc01e452ceee287f5de1bfe,1000000000000000000
26106446,0x9800511c5082c3aa6f4335a75dc78b1a87ea307a,1000000000000000000
26108411,0xe17353c8e998ea3c856ba418a2a00d11afe69444,5555000000000000000000
26124086,0xdfd270b7c5c1005b3d9ecd07dbb5cdd01ad77454,7364207394896635000000
26111684,0xa589db204f421334bd58d9bfe26658b0799f85c4,2000000000000000000000
26121232,0x272be4a0e45305c991fe4f79cac499de3f8dc061,21500000000000000000000
26106364,0xc8480f441c287cdbe2ce31826302b4d039e97811,20000000000000000000
26114306,0x88415e7f51f3be128945e43e120e8900ed92fd13,60000000000000000000
26106418,0xc5f1467bd2aba1bf37056b69b86dcaa7771c1eb9,11000000000000000000000
26125068,0x859d06ebf8943b404db286f18213f550b8d81765,51805570285829532886
26106541,0xb47f19eedddc8a470f6129b0be8fb6295c5322fa,1000000000000000000
26113864,0xec6a31412aeb209d138747ff5c3313260e670057,5000000000000000000000
26120978,0xd28973eca73334f241acbe5488e5f62405083868,4221000000000000000000
26106526,0x3ca84f78326ed32cac52185eabd8247e875a548f,1000000000000000000
