sender_address,total_burned_dwl,win_type
0x8bc2a10797753f93814a58eb5244035365884760,100000,Weighted Raffle
0x7798ba9512b5a684c12e31518923ea4221a41fb9,100000,Weighted Raffle
0xffa739b224de2bd1e07ece27a6e86845ae0f4fd0,69791.1897323043274113,Weighted Raffle
0xed206d089f791a1411228bf0daf9621662af340c,50000,Weighted Raffle
0xf83e1c0fbd0615913dc12be6bc2ad7b13cf0a055,50000,Weighted Raffle
0xb935e82b906de69d4e2ed9e24320067ec98353cf,23500,Weighted Raffle
0xa33feda9a8e2ce234cdf00477344c426160c2703,22500,Weighted Raffle
0x1ab2ea0f61f7cd788fbded408e28d8dabf13daf8,22222.22222222222222222,Weighted Raffle
0x272be4a0e45305c991fe4f79cac499de3f8dc061,21500,Weighted Raffle
0xd64997ddc30869ea7ef865a421c80653ad761483,15555,Weighted Raffle
0xf5a40a74bf78150b41177fbf7476d395900d28d6,15000,Weighted Raffle
0xc5f1467bd2aba1bf37056b69b86dcaa7771c1eb9,11000,Weighted Raffle
0x38fccc4ed695dab2033f62d3df1ed315fe700610,9156.158578951193,Weighted Raffle
0xa0bf0c295d6ac1bb167837406426d388de7a5e43,8000,Weighted Raffle
0x6f4c27cba4370b04ab7a0750851692e1e33b8672,7640.95522021634746902,Weighted Raffle
0xdfd270b7c5c1005b3d9ecd07dbb5cdd01ad77454,7364.207394896635,Weighted Raffle
0x79313d5e9d77df46d581060ba3a0d6c5e825f0f0,7331,Weighted Raffle
0x14b64f97623176794972c92bd0b56f3a9f25ffc6,7111,Weighted Raffle
0x951e3c8437812460f35ea9d8a42343b07c729e60,6666.666666666666,Weighted Raffle
0x01d4551cc6d470335e01f179c018242837946ab3,6000,Weighted Raffle
0xdf0121dfebddc9423c2d73c15f9dacd1ddb5b987,5555,Weighted Raffle
0xe17353c8e998ea3c856ba418a2a00d11afe69444,5555,Weighted Raffle
0xec6a31412aeb209d138747ff5c3313260e670057,5000,Weighted Raffle
0x540a0027509b1c9aa0a2c5c65491cc97083e16de,4870,Weighted Raffle
0xd28973eca73334f241acbe5488e5f62405083868,4221,Weighted Raffle
